# Real function names for this PAL build, from bordplate's NTSC project RC1
# (codeberg.org/bordplate/RC1, config/symbols.txt), mapped to PAL addresses.
# Only confident mappings are listed; see docs/DECOMP_PROGRESS.md.
#
# The build and tools keep using func_<ADDR> (the address IS the name there);
# these names are annotated in src/ as comments.
#
# <pal symbol>  <mangled name>  <demangled>  | <evidence>

func_0011DFC8  __main  __main  | libgcc2 L__main, matched byte for byte
func_0012D868  _start  _start  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012DA28  _exit  _exit  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012DA38  ParseBin__Fv  ParseBin(void)  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012DB18  main  main  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012DB68  snd_StartSoundSystem  snd_StartSoundSystem  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012DDC0  snd_FlushSoundCommands  snd_FlushSoundCommands  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012DFB0  snd_GotReturns  snd_GotReturns  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012E038  snd_PrepareReturnBuffer  snd_PrepareReturnBuffer  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012E318  snd_UnloadBank  snd_UnloadBank  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012E348  snd_SetMasterVolume  snd_SetMasterVolume  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012E380  snd_SetPlaybackMode  snd_SetPlaybackMode  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012E3F8  snd_SetGroupVoiceRange  snd_SetGroupVoiceRange  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012E528  snd_PauseAllSoundsInGroup  snd_PauseAllSoundsInGroup  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012E558  snd_ContinueAllSoundsInGroup  snd_ContinueAllSoundsInGroup  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012E588  snd_SoundIsStillPlaying_CB  snd_SoundIsStillPlaying_CB  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012E688  snd_SendIOPCommandAndWait  snd_SendIOPCommandAndWait  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012E820  snd_SendIOPCommandNoWait  snd_SendIOPCommandNoWait  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012EAE0  snd_PostMessage  snd_PostMessage  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012EB18  snd_SendCurrentBatch  snd_SendCurrentBatch  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012EC30  snd_UnkFunction_0012eaf0  snd_UnkFunction_0012eaf0  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012EC40  snd_UnkFunction_0012eb00  snd_UnkFunction_0012eb00  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012EC60  snd_InitVAGStreamingEx  snd_InitVAGStreamingEx  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012ED10  snd_StopAllStreams  snd_StopAllStreams  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012EDB0  snd_PauseVAGStream  snd_PauseVAGStream  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012EDE0  snd_ContinueVAGStream  snd_ContinueVAGStream  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012EE10  snd_GetVAGStreamTimeRemaining_CB  snd_GetVAGStreamTimeRemaining_CB  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012EE40  snd_IsVAGStreamBuffered_CB  snd_IsVAGStreamBuffered_CB  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012EE70  snd_StreamSafeCheckCDIdle  snd_StreamSafeCheckCDIdle  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012EE98  snd_StreamSafeCdRead  snd_StreamSafeCdRead  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012EF48  snd_StreamSafeCdSync  snd_StreamSafeCdSync  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012EFE8  snd_StreamSafeCdBreak  snd_StreamSafeCdBreak  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012F030  snd_StreamSafeCdGetError  snd_StreamSafeCdGetError  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012F068  snd_StreamSafeCdCallback  snd_StreamSafeCdCallback  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012F0E8  snd_PreAllocReverbWorkArea  snd_PreAllocReverbWorkArea  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012F120  snd_AutoReverb  snd_AutoReverb  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012F1E8  snd_ResetMovieSound  snd_ResetMovieSound  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012F248  snd_StartMovieSound  snd_StartMovieSound  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012F2B8  snd_GetMovieNAX  snd_GetMovieNAX  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012F2E0  snd_GetDopplerPitchMod  snd_GetDopplerPitchMod  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012F308  vsync_callback__Fi  vsync_callback(int)  | core tail: entry-point shift +0x140 onto a PAL function start
func_0012F348  wad_GetSectors_FiiPv  wad_GetSectors_FiiPv  | core tail: entry-point shift +0x140 onto a PAL function start
func_001E9088  actuator_CalcPower  actuator_CalcPower  | text: NTSC/PAL function-size alignment
func_001E94E8  LoadPifAsPSMT8H  LoadPifAsPSMT8H  | text: NTSC/PAL function-size alignment
func_001E96B8  LoadDebugFont  LoadDebugFont  | text: NTSC/PAL function-size alignment
func_001E9E70  Transition_DrawSky__Fv  Transition_DrawSky(void)  | text: NTSC/PAL function-size alignment
func_001EB338  Transition_UpdateMovieCamera__Fv  Transition_UpdateMovieCamera(void)  | text: NTSC/PAL function-size alignment
func_001EB458  Transition_FUN_001eb0a8  Transition_FUN_001eb0a8  | text: NTSC/PAL function-size alignment
func_001EB7C0  Transition_DefaultDraw__Fb  Transition_DefaultDraw(bool)  | text: NTSC/PAL function-size alignment
func_001EC038  BackupCurrentCam  BackupCurrentCam  | text: NTSC/PAL function-size alignment
func_001EC098  ExecuteCamPostUpdFuncs  ExecuteCamPostUpdFuncs  | text: NTSC/PAL function-size alignment
func_001EC120  Cam_InterpValues__FffPffff  Cam_InterpValues(float, float, float *, float, float, float)  | text: NTSC/PAL function-size alignment
func_001EC210  Camera_handleCollWithHero__FiP9UpdateCam  Camera_handleCollWithHero(int, UpdateCam *)  | text: NTSC/PAL function-size alignment
func_001EC270  Camera_runSetupToNewCam__FP9UpdateCam  Camera_runSetupToNewCam(UpdateCam *)  | text: NTSC/PAL function-size alignment
func_001EC5B8  Camera_ActivationCheckPriority  Camera_ActivationCheckPriority  | text: NTSC/PAL function-size alignment
func_001EC780  Camera_Exit__FP9UpdateCam  Camera_Exit(UpdateCam *)  | text: NTSC/PAL function-size alignment
func_001F2930  UpdateFog__Fi  UpdateFog(int)  | text: NTSC/PAL function-size alignment
func_001F2A38  ParseOcclGrid  ParseOcclGrid  | text: NTSC/PAL function-size alignment
func_001F2B10  GetOcclGridFromPair__Fiiiiiif  GetOcclGridFromPair(int, int, int, int, int, int, float)  | text: NTSC/PAL function-size alignment
func_001F2BC8  BuildOcclVisibility__Fv  BuildOcclVisibility(void)  | text: NTSC/PAL function-size alignment
func_001F2FB8  UpdateOcclusion__Fv  UpdateOcclusion(void)  | text: NTSC/PAL function-size alignment
func_001F3008  InitViewContext__Fv  InitViewContext(void)  | text: NTSC/PAL function-size alignment
func_001F3140  UpdateViewContext__Fv  UpdateViewContext(void)  | text: NTSC/PAL function-size alignment
func_001F3890  SetPalMode__Fi  SetPalMode(int)  | text: NTSC/PAL function-size alignment
func_001F3B90  ResetDrawGlobals  ResetDrawGlobals  | text: NTSC/PAL function-size alignment
func_001F3C10  ResetGsRegisters__Fv  ResetGsRegisters(void)  | text: NTSC/PAL function-size alignment
func_001F3D00  ResetGsRegistersPr__Fv  ResetGsRegistersPr(void)  | text: NTSC/PAL function-size alignment
func_001F3D78  DrawDebugProfiler  DrawDebugProfiler  | text: NTSC/PAL function-size alignment
func_001F4630  SetupGifPaging__Fi  SetupGifPaging(int)  | text: NTSC/PAL function-size alignment
func_001F4748  DoGifPaging__Fv  DoGifPaging(void)  | text: NTSC/PAL function-size alignment
func_001F4868  GetEffectTex__Fii  GetEffectTex(int, int)  | text: NTSC/PAL function-size alignment
func_001F4E08  FadeToBlack__FiUi  FadeToBlack(int, unsigned int)  | text: NTSC/PAL function-size alignment
func_001F5650  DrawRectOverlay_FiiiiUl  DrawRectOverlay_FiiiiUl  | text: NTSC/PAL function-size alignment
func_001F5800  DrawTexturedQuad  DrawTexturedQuad  | text: NTSC/PAL function-size alignment
func_001F62C8  DrawUIFrame  DrawUIFrame  | text: NTSC/PAL function-size alignment
func_001F6668  FontPrint  FontPrint  | text: NTSC/PAL function-size alignment
func_001F68E8  FontPrintLarge  FontPrintLarge  | text: NTSC/PAL function-size alignment
func_001F6968  FontPrintSmall  FontPrintSmall  | text: NTSC/PAL function-size alignment
func_001F6EA8  FontPrintCenter  FontPrintCenter  | text: NTSC/PAL function-size alignment
func_001F6F40  FontPrintCenterSmall  FontPrintCenterSmall  | text: NTSC/PAL function-size alignment
func_001F6FD8  FontPrintCenterLarge  FontPrintCenterLarge  | text: NTSC/PAL function-size alignment
func_001F7070  FontPrintWindow  FontPrintWindow  | text: NTSC/PAL function-size alignment
func_001F7648  FontSetWindow  FontSetWindow  | text: NTSC/PAL function-size alignment
func_001FB470  PutDispBuffer__Fv  PutDispBuffer(void)  | text: NTSC/PAL function-size alignment
func_001FB498  PutDrawBufferLarge__Fv  PutDrawBufferLarge(void)  | text: NTSC/PAL function-size alignment
