segment,name,vram,size
core_text,func_00112380,0x00112380,0x28
core_text,func_001123A8,0x001123A8,0xBC
core_text,func_00112464,0x00112464,0x4
core_text,func_00112468,0x00112468,0x58
core_text,func_001124C0,0x001124C0,0x214
core_text,func_001126D8,0x001126D8,0x11CC
core_text,func_001138A4,0x001138A4,0x4
core_text,func_001138A8,0x001138A8,0xC
core_text,func_001138B4,0x001138B4,0x4
core_text,func_001138B8,0x001138B8,0xB0
core_text,func_00113968,0x00113968,0x104
core_text,func_00113A6C,0x00113A6C,0x4
core_text,func_00113A70,0x00113A70,0x58
core_text,func_00113AC8,0x00113AC8,0xC
core_text,func_00113AD8,0x00113AD8,0x4
core_text,func_00113AE0,0x00113AE0,0x8C
core_text,func_00113B6C,0x00113B6C,0x4
core_text,func_00113B70,0x00113B70,0x31C
core_text,func_00113E90,0x00113E90,0x16C
core_text,func_00113FFC,0x00113FFC,0x4
core_text,func_00114000,0x00114000,0x5C
core_text,func_0011405C,0x0011405C,0x4
core_text,func_00114060,0x00114060,0x3D8
core_text,func_00114438,0x00114438,0x94
core_text,func_001144CC,0x001144CC,0x8
core_text,func_001144D8,0x001144D8,0xC
core_text,func_001144E8,0x001144E8,0x4
core_text,func_001144F0,0x001144F0,0x24
core_text,func_00114514,0x00114514,0x4
core_text,func_00114518,0x00114518,0x60
core_text,func_00114578,0x00114578,0x150
core_text,func_001146C8,0x001146C8,0x254
core_text,func_00114920,0x00114920,0x778
core_text,func_00115098,0x00115098,0x3C
core_text,func_001150D4,0x001150D4,0xE0
core_text,func_001151B4,0x001151B4,0x94
core_text,func_00115248,0x00115248,0xB0
core_text,func_001152F8,0x001152F8,0x104
core_text,func_001153FC,0x001153FC,0xC0
core_text,func_001154BC,0x001154BC,0x4
core_text,func_001154C0,0x001154C0,0x8
core_text,func_001154C8,0x001154C8,0x8
core_text,func_001154D0,0x001154D0,0xA8
core_text,func_00115578,0x00115578,0x2C
core_text,func_001155A8,0x001155A8,0x114
core_text,func_001156C0,0x001156C0,0x84
core_text,func_00115748,0x00115748,0xC0
core_text,func_00115808,0x00115808,0x38
core_text,func_00115840,0x00115840,0x22C
core_text,func_00115A70,0x00115A70,0x100
core_text,func_00115B70,0x00115B70,0x178
core_text,func_00115CE8,0x00115CE8,0x68
core_text,func_00115D50,0x00115D50,0x190
core_text,func_00115EE0,0x00115EE0,0x4
core_text,func_00115EE8,0x00115EE8,0x17C
core_text,func_00116068,0x00116068,0xC
core_text,func_00116078,0x00116078,0x50
core_text,func_001160C8,0x001160C8,0x10
core_text,func_001160D8,0x001160D8,0x30
core_text,func_00116108,0x00116108,0x60
core_text,func_00116168,0x00116168,0x48
core_text,func_001161B0,0x001161B0,0x38
core_text,func_001161E8,0x001161E8,0x5C
core_text,func_00116244,0x00116244,0x4
core_text,func_00116248,0x00116248,0x70
core_text,func_001162B8,0x001162B8,0x64
core_text,func_00116320,0x00116320,0x80
core_text,func_001163A0,0x001163A0,0x68
core_text,func_00116408,0x00116408,0x20
core_text,func_00116428,0x00116428,0x190
core_text,func_001165B8,0x001165B8,0x144
core_text,func_001166FC,0x001166FC,0x114
core_text,func_00116810,0x00116810,0x138
core_text,func_00116948,0x00116948,0x1B8
